"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 29, 2019","3.46","3.55","3.58","3.32","25.89M","-1.42%"
"Jul 26, 2019","3.51","3.56","3.62","3.50","15.61M","0.29%"
"Jul 25, 2019","3.50","3.68","3.72","3.50","26.51M","-4.63%"
"Jul 24, 2019","3.67","3.45","3.75","3.44","38.84M","6.07%"
"Jul 23, 2019","3.46","3.43","3.49","3.37","12.46M","2.37%"
"Jul 22, 2019","3.38","3.38","3.45","3.31","12.38M","0.30%"
"Jul 19, 2019","3.37","3.43","3.48","3.36","13.78M","-1.75%"
"Jul 18, 2019","3.43","3.47","3.50","3.31","17.65M","-0.29%"
"Jul 17, 2019","3.44","3.28","3.52","3.25","26.70M","4.24%"
"Jul 16, 2019","3.30","3.40","3.45","3.26","25.76M","-2.65%"
"Jul 15, 2019","3.39","3.49","3.52","3.34","19.83M","-1.74%"
"Jul 12, 2019","3.45","3.34","3.64","3.32","39.43M","0.88%"
"Jul 11, 2019","3.42","3.64","3.68","3.32","57.07M","-7.07%"
"Jul 10, 2019","3.68","3.95","4.00","3.60","85.13M","-0.27%"
"Jul 09, 2019","3.69","3.58","3.90","3.42","87.41M","5.73%"
"Jul 08, 2019","3.49","3.21","3.50","3.13","40.42M","7.06%"
"Jul 05, 2019","3.26","3.31","3.34","3.15","35.91M","4.15%"
"Jul 03, 2019","3.13","2.93","3.29","2.90","75.34M","10.99%"
"Jul 02, 2019","2.82","2.60","2.85","2.57","35.32M","8.46%"
"Jul 01, 2019","2.60","2.67","2.68","2.58","19.54M","1.96%"
"Jun 28, 2019","2.55","2.60","2.63","2.51","17.64M","-1.92%"
"Jun 27, 2019","2.60","2.51","2.62","2.44","27.69M","1.96%"
"Jun 26, 2019","2.55","2.64","2.73","2.54","20.68M","-1.92%"
"Jun 25, 2019","2.60","2.64","2.66","2.55","16.29M","-1.52%"
"Jun 24, 2019","2.64","2.61","2.69","2.51","22.69M","0.00%"
"Jun 21, 2019","2.64","2.88","2.90","2.57","49.60M","-6.71%"
"Jun 20, 2019","2.83","2.87","3.05","2.80","55.70M","3.28%"
"Jun 19, 2019","2.74","2.67","2.84","2.56","43.76M","8.30%"
"Jun 18, 2019","2.53","2.52","2.71","2.45","50.08M","2.85%"
"Jun 17, 2019","2.46","2.39","2.53","2.35","20.83M","1.65%"
"Jun 14, 2019","2.42","2.44","2.45","2.35","27.07M","-3.97%"
"Jun 13, 2019","2.52","2.55","2.62","2.50","21.96M","-1.18%"
"Jun 12, 2019","2.55","2.62","2.62","2.50","30.10M","-2.30%"
"Jun 11, 2019","2.61","2.67","2.67","2.55","33.07M","-0.76%"
"Jun 10, 2019","2.63","2.75","2.82","2.59","35.99M","-4.71%"
"Jun 07, 2019","2.76","2.64","2.81","2.55","31.40M","4.15%"
"Jun 06, 2019","2.65","2.90","2.90","2.54","54.09M","-6.36%"
"Jun 05, 2019","2.83","3.07","3.09","2.76","38.18M","-6.91%"
"Jun 04, 2019","3.04","3.00","3.11","2.97","30.92M","2.70%"
"Jun 03, 2019","2.96","2.98","3.06","2.74","51.79M","-2.95%"
"May 31, 2019","3.05","3.07","3.15","3.00","39.38M","-5.86%"
"May 30, 2019","3.24","3.55","3.55","3.11","55.94M","-10.25%"
"May 29, 2019","3.61","3.89","3.90","3.60","41.69M","-9.75%"
"May 28, 2019","4.00","4.12","4.14","3.88","114.47M","3.63%"
"May 24, 2019","3.86","3.98","4.04","3.81","26.07M","-1.78%"
"May 23, 2019","3.93","3.96","4.03","3.83","27.86M","-2.96%"
"May 22, 2019","4.05","4.25","4.30","4.00","35.45M","-5.59%"
"May 21, 2019","4.29","4.35","4.45","4.25","23.44M","0.94%"
"May 20, 2019","4.25","4.38","4.40","4.11","23.57M","-3.85%"
"May 17, 2019","4.42","4.58","4.70","4.42","19.78M","-5.15%"
"May 16, 2019","4.66","4.65","4.85","4.61","16.20M","-1.06%"
